,Platform_ORF,logFC,AveExpr,F,P.Value,adj.P.Val,GO.Function,GO.Component,GO.Process,Gene.symbol,Chromosome.annotation,EGEOD,Organism,Species,Strain,StudyType,AssayType,Gen,meta_data
12,orf19.11001,0.118753387,-1.724753387,78.83793002,2.71E-06,0.001237072,"cytochrome-b5 reductase activity, acting on NAD(P)H",integral component of mitochondrial outer membrane///mitochondrial intermembrane space///mitochondrial outer membrane,oxidation-reduction process///cellular response to oxidative stress///ergosterol biosynthetic process,MCR1,Contig20181:complement(26130..25225),GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
13,orf19.8794.1,0.039220317,-1.642470317,76.73771026,3.02E-06,0.001351626,NA,NA,NA,NA,Contig20099:54808..55035,GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
14,orf19.12243,-0.013921912,1.930921912,70.74345443,4.22E-06,0.001618728,xenobiotic transmembrane transporter activity///xenobiotic transmembrane transporter activity,integral component of membrane///plasma membrane///membrane,arginine transport///xenobiotic detoxification by transmembrane export across the plasma membrane,NA,Contig20215:complement(137808..135946),GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
15,orf19.12337,-0.032100038,2.662350038,66.57167583,5.41E-06,0.001901222,molecular_function,cellular_component,biological_process,NA,Contig20215:complement(317814..317302),GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
16,orf19.9519,0.105240405,-1.536990405,65.85370587,5.65E-06,0.001927613,molecular_function,cellular_component,aerobic respiration,GDS1,Contig20137:83173..84696,GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
17,orf19.8626,-0.088944297,-1.427555703,64.10174973,6.31E-06,0.00194879,molecular_function,endosome///Golgi apparatus///AP-1 adaptor complex,Golgi to vacuole transport///endosomal transport///vesicle-mediated transport,APS1,Contig20083:8257..8718,GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
18,orf19.9501,0.127526902,-1.685526902,63.96108183,6.37E-06,0.00194879,carbohydrate binding///glucose-6-phosphate 1-epimerase activity,fungal biofilm matrix,carbohydrate metabolic process,NA,Contig20137:38876..39775,GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
19,orf19.11557,0.128311158,-1.806061158,63.6173797,6.51E-06,0.00194879,"oxidoreductase activity, acting on the aldehyde or oxo group of donors///sulfite reductase (NADPH) activity",sulfite reductase complex (NADPH),oxidation-reduction process///sulfate assimilation,MET10,Contig20196:complement(21447..18163),GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
20,orf19.11354,-0.101478854,-1.215271146,62.31215159,7.08E-06,0.001977686,actin filament binding///ubiquitin binding,Arp2/3 protein complex///cytoplasm,mitotic cytokinesis///Arp2/3 complex-mediated actin nucleation///actin cortical patch organization///positive regulation of Arp2/3 complex-mediated actin nucleation///cellular response to starvation///filamentous growth of a population of unicellular organisms in response to starvation///cellular response to biotic stimulus///filamentous growth of a population of unicellular organisms in response to biotic stimulus///filamentous growth,ARC40,Contig20193:46523..47677,GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
21,orf19.7966,-0.052300618,-1.737449382,60.12906499,8.18E-06,0.002047214,molecular_function,cellular_component,biological_process,NA,Contig20046:complement(183859..183287),GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
22,orf19.11339,0.212244802,1.239005198,59.88946839,8.31E-06,0.002047214,molecular_function,cellular_component,biological_process,NA,Contig20193:18827..19462,GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
23,orf19.13695,0.081099704,-1.143599704,52.71678783,1.39E-05,0.002565395,molecular_function,membrane,biological_process,NA,Contig20244:complement(34221..33673),GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
24,orf19.8294,-0.042729242,-1.433770758,52.49330834,1.41E-05,0.002585757,CDP-diacylglycerol-serine O-phosphatidyltransferase activity,integral component of membrane///mitochondrial outer membrane///endoplasmic reticulum membrane///cytoplasm,"phosphatidylserine biosynthetic process///phosphatidylethanolamine biosynthetic process///phosphatidylethanolamine biosynthetic process///positive regulation of protein localization to cell tip///positive regulation of protein localization to plasma membrane///phosphatidylserine biosynthetic process///negative regulation of phosphatidylinositol biosynthetic process///negative regulation of G0 to G1 transition///fungal-type cell wall organization or biogenesis///cell growth mode switching, monopolar to bipolar///cell wall organization or biogenesis///phospholipid metabolic process///filamentous growth of a population of unicellular organisms in response to chemical stimulus///cellular response to starvation///filamentous growth of a population of unicellular organisms in response to starvation///filamentous growth of a population of unicellular organisms in response to starvation///filamentous growth of a population of unicellular organisms in response to biotic stimulus///cellular response to biotic stimulus///filamentous growth///filamentous growth///cellular response to chemical stimulus",CHO1,Contig20064:51780..52601,GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
25,orf19.9999,-0.258346515,3.251346515,52.23908872,1.44E-05,0.002612827,molecular_function,cellular_component,biological_process,PRN3,Contig20150:complement(71650..70670),GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
26,orf19.12797,-0.087953608,1.220453608,51.66678379,1.51E-05,0.002658878,acid-amino acid ligase activity,cellular_component,biological_process,UBC15,Contig20225:98890..99417,GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
27,orf19.8150,-1.719538411,-0.062961589,51.67211528,1.51E-05,0.002658878,RNA polymerase I cis-regulatory region sequence-specific DNA binding///RNA polymerase I general transcription initiation factor activity,nucleolus///RNA polymerase I upstream activating factor complex,nucleolar large rRNA transcription by RNA polymerase I,RRN10,Contig20053:complement(99444..98857),GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
28,orf19.11140,0.027128909,1.149371091,50.23451183,1.69E-05,0.002703894,"oxidoreductase activity, acting on the CH-CH group of donors///electron transfer activity///2 iron, 2 sulfur cluster binding///oxidoreductase activity, acting on NAD(P)H///oxidoreductase activity, acting on NAD(P)H, heme protein as acceptor///iron-sulfur cluster binding",integral component of membrane///mitochondrial inner membrane///plasma membrane,heme A biosynthetic process///respiratory electron transport chain///heme A biosynthetic process,COX15,Contig20185:36362..37801,GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
29,orf19.13338,0.090080475,1.299169525,49.46830209,1.79E-05,0.002703894,zinc ion binding///nucleic acid binding///DNA-binding transcription factor activity,nucleus///cytoplasm,positive regulation of cellular protein catabolic process///positive regulation of pseudohyphal growth by positive regulation of transcription from RNA polymerase II promoter///regulation of pseudohyphal growth///positive regulation of protein catabolic process///positive regulation of transcription by RNA polymerase II///positive regulation of transcription by RNA polymerase II///cellular response to drug///filamentous growth of a population of unicellular organisms,STP3,Contig20236:complement(114714..113386),GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
30,orf19.11121,0.212996678,1.189503322,50.67519547,1.63E-05,0.002703894,alkylbase DNA N-glycosylase activity///damaged DNA binding///DNA-3-methyladenine glycosylase activity,nucleus///cytoplasm,"DNA dealkylation involved in DNA repair///base-excision repair, AP site formation///cellular response to DNA damage stimulus",MAG1,Contig20184:complement(97886..96822),GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
31,orf19.11918,0.18159107,1.63740893,49.4117008,1.80E-05,0.002703894,"RNA polymerase II cis-regulatory region sequence-specific DNA binding///DNA-binding transcription factor activity, RNA polymerase II-specific",nucleus,negative regulation of transcription by RNA polymerase II///positive regulation of transcription involved in G1/S transition of mitotic cell cycle///negative regulation of meiotic nuclear division///positive regulation of transcription by RNA polymerase II///negative regulation of transcription involved in meiotic cell cycle,RME1,Contig20205:complement(41090..39567),GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
32,orf19.7747,0.426197017,2.049302983,50.34809577,1.67E-05,0.002703894,triglyceride lipase activity,cellular_component,lipid metabolic process,LIP11,Contig20035:complement(34456..33401),GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
33,orf19.13175,0.129519166,1.232230834,48.86806764,1.88E-05,0.002703946,ubiquitin-protein transferase activity,SCF ubiquitin ligase complex,SCF-dependent proteasomal ubiquitin-dependent protein catabolic process,NA,Contig20233:complement(97143..95230),GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
34,orf19.11001,-0.133151988,-1.485348012,49.2145708,1.83E-05,0.002703946,"cytochrome-b5 reductase activity, acting on NAD(P)H",integral component of mitochondrial outer membrane///mitochondrial intermembrane space///mitochondrial outer membrane,oxidation-reduction process///cellular response to oxidative stress///ergosterol biosynthetic process,MCR1,Contig20181:complement(26130..25225),GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
35,orf19.10381.1,0.025469012,1.115780988,47.19730035,2.16E-05,0.00283114,NA,NA,NA,ERV1,Contig20161:complement(114066..113701),GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
36,orf19.8559,-0.063935778,1.644435778,45.49583083,2.50E-05,0.003031175,D-amino-acid oxidase activity,cellular_component,oxidation-reduction process///D-valine metabolic process///D-amino acid metabolic process///D-alanine metabolic process,IFG3,Contig20080:76594..77628,GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
37,orf19.9999,-0.121237716,3.128987716,44.34910902,2.77E-05,0.003061668,molecular_function,cellular_component,biological_process,PRN3,Contig20150:complement(71650..70670),GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
38,orf19.10732,0.212002192,-1.116002192,44.0763889,2.84E-05,0.003083412,ATP binding///carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity,carbamoyl-phosphate synthase complex,arginine biosynthetic process,CPA2,Contig20172:complement(3813..364),GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
39,orf19.9952,0.104445444,1.853054556,42.80670154,3.18E-05,0.003133034,molecular_function,extrinsic component of membrane///mitochondrial intermembrane space///mitochondrion,biological_process,MPM1,Contig20148:complement(53741..52773),GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
40,orf19.13766,-0.019557438,1.528557438,42.0600695,3.41E-05,0.003133034,unfolded protein binding///heat shock protein binding,cellular_component,biological_process,YDJ2,Contig20247:58620..60239,GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
41,orf19.10973,-0.286278036,-1.514221964,42.64337286,3.23E-05,0.003133034,transcription factor binding,Sin3-type complex///MBF transcription complex///SBF transcription complex,regulation of transcription involved in G1/S transition of mitotic cell cycle///positive regulation of transcription by RNA polymerase II,NA,Contig20177:29833..31014,GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
42,orf19.8650,0.069173496,1.077826504,41.72299753,3.52E-05,0.003170313,oxidoreductase activity///aryl-alcohol dehydrogenase (NAD+) activity,cellular_component,single-species biofilm formation on inanimate substrate,IFD1,Contig20087:43153..44187,GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
43,orf19.10736,0.375418497,-1.321918497,41.54344262,3.58E-05,0.00318173,sterol binding,extracellular region///fungal-type vacuole lumen,sterol transport///intracellular sterol transport,NPC2,Contig20172:15766..16344,GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
44,orf19.8751,0.399711124,-1.037711124,40.88866534,3.81E-05,0.003226459,homoserine O-acetyltransferase activity///serine O-acetyltransferase activity,cytoplasm,methionine biosynthetic process///cysteine metabolic process///cysteine biosynthetic process from serine///cysteine biosynthetic process,MET23,Contig20097:39499..40962,GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
45,orf19.11206,0.236398794,2.032101206,40.22646298,4.06E-05,0.003248587,DNA-binding transcription factor activity///zinc ion binding,nucleus///cytoplasm,"regulation of transcription, DNA-templated",FAP1,Contig20190:8368..10929,GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
46,orf19.10178,-0.192842527,1.627092527,40.1152675,4.11E-05,0.003266048,ubiquitin binding,mitotic checkpoint complex///condensed nuclear chromosome kinetochore,positive regulation of protein autoubiquitination///mitotic DNA integrity checkpoint,BUB3,Contig20155:complement(47429..46308),GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
47,orf19.11740,-0.095423846,-1.978826154,39.95617386,4.17E-05,0.003287939,molecular_function,cellular_component,biological_process,NA,Contig20202:89745..90650,GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
48,orf19.8168,-0.055859739,-2.296640261,39.85702135,4.21E-05,0.003297578,molecular_function,cell surface///cell surface,filamentous growth of a population of unicellular organisms in response to neutral pH///filamentous growth///cellular response to neutral pH,NA,Contig20053:complement(120178..119843),GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
49,orf19.9378,-0.081308188,1.105308188,39.09029514,4.55E-05,0.003325008,ribosome binding///ribosomal large subunit binding,"nucleus///nucleolus///preribosome, large subunit precursor///cytoplasm","mature ribosome assembly///assembly of large subunit precursor of preribosome///ribosomal subunit export from nucleus///maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)///maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)///rRNA processing///ribosomal large subunit biogenesis",TIF6,Contig20129:complement(12323..11586),GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
50,orf19.10583,-0.170920454,-1.018329547,39.34152362,4.43E-05,0.003325008,oxidoreductase activity,cellular_component,oxidation-reduction process,DAO1,Contig20163:complement(262015..260930),GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
51,orf19.8530,-1.29252964,0.80152964,39.12003293,4.53E-05,0.003325008,NA,NA,NA,TOM12,Contig20076:259261..260976///Contig20076:254282..259135,GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
52,orf19.10221,0.424778622,-0.927778622,39.38112734,4.42E-05,0.003325008,"hydrolase activity, hydrolyzing O-glycosyl compounds///transferase activity, transferring glycosyl groups",fungal-type cell wall///incipient cellular bud site///extracellular region///cell surface///yeast-form cell wall///cell surface///yeast-form cell wall///yeast-form cell wall///hyphal cell wall///hyphal cell wall///fungal-type cell wall///fungal-type cell wall///fungal-type cell wall///anchored component of plasma membrane///extracellular vesicle///extracellular vesicle,carbohydrate metabolic process///cell wall chitin metabolic process///fungal-type cell wall organization///fungal-type cell wall organization,CRH1,Contig20158:86016..87377,GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
53,orf19.13172,0.127827118,1.148172882,39.1128118,4.54E-05,0.003325008,chaperone binding,nucleus///cytoplasm,protein folding///positive regulation of telomere maintenance via telomerase///negative regulation of DNA binding///regulation of telomerase activity///protein folding,SBA1,Contig20233:complement(90324..89659),GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
54,orf19.10286.2,0.195774438,-0.993524438,39.36796573,4.42E-05,0.003325008,NA,NA,NA,SOD1,Contig20158:225692..226171,GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
55,orf19.12183,-0.02158091,1.17483091,39.1028475,4.54E-05,0.003325008,copper ion transmembrane transporter activity///copper ion transmembrane transporter activity,integral component of membrane///fungal-type vacuole membrane///plasma membrane///prospore membrane,copper ion transmembrane transport///cellular copper ion homeostasis///protein maturation by copper ion transfer///copper ion import,CTR2,Contig20215:1320..1745,GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
56,orf19.12124,-0.094218856,2.648718856,39.00897253,4.58E-05,0.003327971,NA,NA,NA,NA,Contig20212:complement(183084..182755),GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
57,orf19.9061,0.131437248,1.121312753,39.04496041,4.57E-05,0.003327971,molecular_function,cellular_component,biological_process,NA,Contig20119:complement(78191..77694),GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
58,orf19.9538,0.110818184,-1.101818184,38.79442876,4.68E-05,0.0033401,NA,NA,NA,NA,Contig20137:115930..116247,GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
59,orf19.11813,-0.427052405,1.820802405,38.82445971,4.67E-05,0.0033401,monocarboxylic acid transmembrane transporter activity,mitochondrion///membrane,monocarboxylic acid transport,ESBP6,Contig20202:complement(214428..212407),GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
60,orf19.8668,0.091527501,-1.684527501,38.76030531,4.70E-05,0.0033401,molecular_function,cytoplasm,N-acetylglucosamine metabolic process,NA,Contig20087:complement(69992..69228),GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
61,orf19.13413,-0.425713535,-3.029036465,37.82961524,5.17E-05,0.003546503,"DNA-binding transcription factor activity, RNA polymerase II-specific///zinc ion binding",host cell nucleus///nucleus,"regulation of transcription, DNA-templated///filamentous growth///phenotypic switching///positive regulation of phenotypic switching///growth of unicellular organism as a thread of attached cells///negative regulation of growth of unicellular organism as a thread of attached cells",NA,Contig20236:263165..264505,GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
62,orf19.7886,-0.130138455,-1.123111545,37.78925929,5.19E-05,0.003549163,molecular_function,cellular_component,biological_process,NA,Contig20046:complement(43982..42510),GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
63,orf19.8709,0.09217859,-1.47367859,37.35516817,5.43E-05,0.00359184,small GTPase binding,exomer complex,Golgi to vacuole transport///Golgi to plasma membrane protein transport///Golgi to plasma membrane transport///fungal-type cell wall chitin biosynthetic process,BUD7,Contig20093:15304..17598,GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
64,orf19.10626,0.363341281,2.298408719,37.15441246,5.54E-05,0.003611172,pseudouridine synthase activity///RNA binding///pseudouridylate synthase activity,mitochondrion,pseudouridine synthesis///rRNA modification///pseudouridine synthesis,PUS5,Contig20166:complement(59946..59203),GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
65,orf19.11673,0.33741438,-1.08766438,36.77270456,5.77E-05,0.00365061,DNA binding///tricarboxylate secondary active transmembrane transporter activity,mitochondrial nucleoid///mitochondrion///plasma membrane,tricarboxylic acid transport///mitochondrial citrate transmembrane transport///mitochondrial genome maintenance///alpha-ketoglutarate transport,YHM2,Contig20201:8897..9802,GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
66,orf19.13341,0.005327875,1.059672125,36.80142303,5.75E-05,0.00365061,molecular_function,cellular_component,biological_process,NA,Contig20236:complement(123379..122969),GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
67,orf19.13575,-0.0360825,-1.0454175,36.73721677,5.79E-05,0.00365061,3'-5'-exoribonuclease activity,nucleus,"tRNA 3'-trailer cleavage, exonucleolytic///U5 snRNA 3'-end processing///exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)///generation of mature 3'-end of 5S rRNA generated by RNA polymerase III",RNH70,Contig20241:3671..5905,GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
68,orf19.10350,-0.068648181,1.082648181,36.8813104,5.70E-05,0.00365061,enzyme regulator activity,cellular bud neck contractile ring///HICS complex,secondary cell septum biogenesis///mitotic cytokinesis///chromosome organization,NA,Contig20161:50805..52784,GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
69,orf19.9535,-0.165781572,2.037781572,36.80296342,5.75E-05,0.00365061,inorganic phosphate transmembrane transporter activity///glycerophosphodiester transmembrane transporter activity,integral component of membrane///membrane,phosphate ion transport///glycerophosphodiester transmembrane transport,GIT3,Contig20137:110036..111643,GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
70,orf19.11893,0.312307528,0.996942472,36.53043334,5.92E-05,0.003704457,molecular_function,cellular_component,biological_process,NA,Contig20204:33494..34087,GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
71,orf19.8561,-0.034387992,-1.504862008,36.41576892,5.99E-05,0.003712952,adenylylsulfate kinase activity///ATP binding///adenylylsulfate kinase activity,cellular_component,"sulfate assimilation///sulfate assimilation///sulfate assimilation, phosphoadenylyl sulfate reduction by phosphoadenylyl-sulfate reductase (thioredoxin)///sulfur amino acid metabolic process",MET14,Contig20080:complement(79221..78619),GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
72,orf19.7843,0.034263415,1.494736585,36.20904913,6.12E-05,0.003743638,DNA binding///methyltransferase activity///zinc ion binding,cellular_component,"DNA repair///regulation of transcription, DNA-templated",NA,Contig20045:complement(33881..33321),GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
73,orf19.9557.1,-0.123561508,1.538311508,35.73639226,6.44E-05,0.003770761,NA,NA,NA,COX17,Contig20139:complement(43145..42828),GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
74,orf19.9557.1,-0.059189461,1.567439461,35.6494766,6.50E-05,0.003770761,NA,NA,NA,COX17,Contig20139:complement(43145..42828),GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
75,orf19.9673,-0.101729816,1.362729816,35.66429864,6.49E-05,0.003770761,NA,NA,NA,NA,Contig20140:10907..11263,GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
76,orf19.8363,0.080471927,-1.118471927,35.35975121,6.71E-05,0.003858343,"glycogen debranching enzyme activity///amylo-alpha-1,6-glucosidase activity///4-alpha-glucanotransferase activity///amylo-alpha-1,6-glucosidase activity///4-alpha-glucanotransferase activity",cellular_component,glycogen biosynthetic process///glycogen catabolic process///glycogen catabolic process,GDB1,Contig20072:complement(23160..18340),GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
77,orf19.8865,0.174324255,-1.052074255,35.18588166,6.84E-05,0.003900017,NA,NA,NA,NA,Contig20104:complement(131715..131473),GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
78,orf19.8023,0.048494463,1.162755537,34.70467771,7.22E-05,0.003955258,molecular_function,AP-3 adaptor complex,Golgi to vacuole transport///pathogenesis///Golgi to vacuole transport///protein targeting to vacuole,APS3,Contig20051:complement(20640..20161),GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
79,orf19.9716,0.008866357,-1.311866357,34.47372961,7.40E-05,0.003982495,molecular_function,plasma membrane///plasma membrane///extracellular vesicle,pathogenesis,NA,Contig20141:17947..20730,GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
80,orf19.12626,0.119400058,1.342349942,34.43519005,7.44E-05,0.003989042,peptidase activity///glutathione hydrolase activity///omega peptidase activity///amidophosphoribosyltransferase activity,glutathione hydrolase complex///cytoplasm,glutathione catabolic process,NA,Contig20219:61622..62656,GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
81,orf19.12183,-0.068080649,1.301330649,34.34336015,7.51E-05,0.003998332,copper ion transmembrane transporter activity///copper ion transmembrane transporter activity,integral component of membrane///fungal-type vacuole membrane///plasma membrane///prospore membrane,copper ion transmembrane transport///cellular copper ion homeostasis///protein maturation by copper ion transfer///copper ion import,CTR2,Contig20215:1320..1745,GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
82,orf19.7886,-0.249825432,-1.021174568,34.30070477,7.55E-05,0.004002042,molecular_function,cellular_component,biological_process,NA,Contig20046:complement(43982..42510),GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
